team_name,main_league,main_league_common_id,country,team_name_website,website,team_common_id
liverpool,English Premier League,337,England,liverpool,Bwin,7
arsenal,English Premier League,337,England,arsenal,Bwin,8
manchester city,English Premier League,337,England,manchester city,Bwin,9
aston villa,English Premier League,337,England,aston villa,Bwin,10
tottenham,English Premier League,337,England,tottenham hotspur,Bwin,11
manchester united,English Premier League,337,England,manchester united,Bwin,12
west ham,English Premier League,337,England,west ham united,Bwin,13
brighton,English Premier League,337,England,brighton & hove albion,Bwin,14
newcastle,English Premier League,337,England,newcastle united,Bwin,15
wolves,English Premier League,337,England,wolverhampton wanderers,Bwin,16
chelsea,English Premier League,337,England,chelsea,Bwin,17
bournemouth,English Premier League,337,England,afc bournemouth,Bwin,18
fulham,English Premier League,337,England,fulham,Bwin,19
crystal palace,English Premier League,337,England,crystal palace,Bwin,20
brentford,English Premier League,337,England,brentford,Bwin,21
nottingham forest,English Premier League,337,England,nottingham forest,Bwin,22
luton,English Premier League,337,England,luton town,Bwin,23
everton,English Premier League,337,England,everton fc,Bwin,24
burnley,English Premier League,337,England,burnley,Bwin,25
sheffield united,English Premier League,337,England,sheffield united,Bwin,26
leicester,Championship,338,England,leicester city,Bwin,27
southampton,Championship,338,England,southampton fc,Bwin,28
leeds,Championship,338,England,leeds united,Bwin,29
ipswich,Championship,338,England,ipswich town,Bwin,30
west brom,Championship,338,England,west bromwich albion,Bwin,31
hull,Championship,338,England,hull city,Bwin,32
coventry,Championship,338,England,coventry city,Bwin,33
sunderland,Championship,338,England,sunderland afc,Bwin,34
norwich,Championship,338,England,norwich city,Bwin,35
preston,Championship,338,England,preston north end,Bwin,36
watford,Championship,338,England,watford,Bwin,37
middlesbrough,Championship,338,England,middlesbrough,Bwin,38
cardiff,Championship,338,England,cardiff city,Bwin,39
bristol city,Championship,338,England,bristol city,Bwin,40
plymouth,Championship,338,England,plymouth argyle,Bwin,41
millwall,Championship,338,England,millwall,Bwin,42
swansea,Championship,338,England,swansea city,Bwin,43
blackburn,Championship,338,England,blackburn rovers,Bwin,44
birmingham,Championship,338,England,birmingham city,Bwin,45
stoke,Championship,338,England,stoke city,Bwin,46
huddersfield,Championship,338,England,huddersfield town,Bwin,47
qpr,Championship,338,England,queens park rangers,Bwin,48
sheffield wednesday,Championship,338,England,sheffield wednesday,Bwin,49
rotherham,Championship,338,England,rotherham united,Bwin,50
portsmouth,League One,339,England,portsmouth,Bwin,51
derby,League One,339,England,derby county,Bwin,52
bolton,League One,339,England,bolton wanderers,Bwin,53
peterborough,League One,339,England,peterborough united,Bwin,54
barnsley,League One,339,England,barnsley,Bwin,55
stevenage,League One,339,England,stevenage,Bwin,56
oxford united,League One,339,England,oxford united,Bwin,57
blackpool,League One,339,England,blackpool,Bwin,58
leyton orient,League One,339,England,leyton orient,Bwin,59
bristol rovers,League One,339,England,bristol rovers,Bwin,60
northampton,League One,339,England,northampton town,Bwin,61
lincoln,League One,339,England,lincoln city,Bwin,62
wigan,League One,339,England,wigan athletic,Bwin,63
cambridge united,League One,339,England,cambridge united,Bwin,64
wycombe,League One,339,England,wycombe wanderers,Bwin,65
shrewsbury,League One,339,England,shrewsbury town,Bwin,66
exeter,League One,339,England,exeter city,Bwin,67
burton,League One,339,England,burton albion,Bwin,68
charlton,League One,339,England,charlton athletic,Bwin,69
port vale,League One,339,England,port vale,Bwin,70
reading,League One,339,England,reading,Bwin,71
cheltenham,League One,339,England,cheltenham town,Bwin,72
fleetwood,League One,339,England,fleetwood town,Bwin,73
carlisle,League One,339,England,carlisle united,Bwin,74
stockport county,League Two,340,England,stockport county fc,Bwin,75
mansfield,League Two,340,England,mansfield town,Bwin,76
barrow,League Two,340,England,barrow,Bwin,77
wrexham,League Two,340,England,wrexham afc,Bwin,78
crewe,League Two,340,England,crewe alexandra,Bwin,79
mk dons,League Two,340,England,milton keynes dons,Bwin,80
