team_name,main_league,main_league_common_id,country,team_name_website,website,team_common_id
liverpool,English Premier League,337,England,liverpool,Pinnacle,7
arsenal,English Premier League,337,England,arsenal,Pinnacle,8
manchester city,English Premier League,337,England,manchester city,Pinnacle,9
aston villa,English Premier League,337,England,aston villa,Pinnacle,10
tottenham,English Premier League,337,England,tottenham hotspur,Pinnacle,11
manchester united,English Premier League,337,England,manchester united,Pinnacle,12
west ham,English Premier League,337,England,west ham united,Pinnacle,13
brighton,English Premier League,337,England,brighton and hove albion,Pinnacle,14
newcastle,English Premier League,337,England,newcastle united,Pinnacle,15
wolves,English Premier League,337,England,wolves,Pinnacle,16
chelsea,English Premier League,337,England,chelsea,Pinnacle,17
bournemouth,English Premier League,337,England,bournemouth,Pinnacle,18
fulham,English Premier League,337,England,fulham,Pinnacle,19
crystal palace,English Premier League,337,England,crystal palace,Pinnacle,20
brentford,English Premier League,337,England,brentford,Pinnacle,21
nottingham forest,English Premier League,337,England,nottingham forest,Pinnacle,22
luton,English Premier League,337,England,luton town,Pinnacle,23
everton,English Premier League,337,England,everton,Pinnacle,24
burnley,English Premier League,337,England,burnley,Pinnacle,25
sheffield united,English Premier League,337,England,sheffield united,Pinnacle,26
leicester,Championship,338,England,leicester city,Pinnacle,27
southampton,Championship,338,England,southampton,Pinnacle,28
leeds,Championship,338,England,leeds united,Pinnacle,29
ipswich,Championship,338,England,ipswich town,Pinnacle,30
west brom,Championship,338,England,west brom,Pinnacle,31
hull,Championship,338,England,hull city,Pinnacle,32
coventry,Championship,338,England,coventry,Pinnacle,33
sunderland,Championship,338,England,sunderland,Pinnacle,34
norwich,Championship,338,England,norwich city,Pinnacle,35
preston,Championship,338,England,preston,Pinnacle,36
watford,Championship,338,England,watford,Pinnacle,37
middlesbrough,Championship,338,England,middlesbrough,Pinnacle,38
cardiff,Championship,338,England,cardiff city,Pinnacle,39
bristol city,Championship,338,England,bristol city,Pinnacle,40
plymouth,Championship,338,England,plymouth argyle,Pinnacle,41
millwall,Championship,338,England,millwall,Pinnacle,42
swansea,Championship,338,England,swansea city,Pinnacle,43
blackburn,Championship,338,England,blackburn rovers,Pinnacle,44
birmingham,Championship,338,England,birmingham city,Pinnacle,45
stoke,Championship,338,England,stoke city,Pinnacle,46
huddersfield,Championship,338,England,huddersfield town,Pinnacle,47
qpr,Championship,338,England,queens park rangers,Pinnacle,48
sheffield wednesday,Championship,338,England,sheffield wednesday,Pinnacle,49
rotherham,Championship,338,England,rotherham,Pinnacle,50
portsmouth,League One,339,England,portsmouth,Pinnacle,51
derby,League One,339,England,derby county,Pinnacle,52
bolton,League One,339,England,bolton wanderers,Pinnacle,53
peterborough,League One,339,England,peterborough united,Pinnacle,54
barnsley,League One,339,England,barnsley,Pinnacle,55
stevenage,League One,339,England,stevenage,Pinnacle,56
oxford united,League One,339,England,oxford united,Pinnacle,57
blackpool,League One,339,England,blackpool,Pinnacle,58
leyton orient,League One,339,England,leyton orient,Pinnacle,59
bristol rovers,League One,339,England,bristol rovers,Pinnacle,60
northampton,League One,339,England,northampton town,Pinnacle,61
lincoln,League One,339,England,lincoln city,Pinnacle,62
wigan,League One,339,England,wigan athletic,Pinnacle,63
cambridge united,League One,339,England,cambridge united,Pinnacle,64
wycombe,League One,339,England,wycombe,Pinnacle,65
shrewsbury,League One,339,England,shrewsbury,Pinnacle,66
exeter,League One,339,England,exeter city,Pinnacle,67
burton,League One,339,England,burton albion,Pinnacle,68
charlton,League One,339,England,charlton athletic,Pinnacle,69
port vale,League One,339,England,port vale,Pinnacle,70
reading,League One,339,England,reading,Pinnacle,71
cheltenham,League One,339,England,cheltenham town,Pinnacle,72
fleetwood,League One,339,England,fleetwood town,Pinnacle,73
carlisle,League One,339,England,carlisle,Pinnacle,74
stockport county,League Two,340,England,stockport,Pinnacle,75
mansfield,League Two,340,England,mansfield,Pinnacle,76
barrow,League Two,340,England,barrow,Pinnacle,77
wrexham,League Two,340,England,wrexham,Pinnacle,78
crewe,League Two,340,England,crewe alexandra,Pinnacle,79
mk dons,League Two,340,England,mk dons,Pinnacle,80
notts county,League Two,340,England,notts county,Pinnacle,81
harrogate,League Two,340,England,harrogate town,Pinnacle,82
afc wimbledon,League Two,340,England,afc wimbledon,Pinnacle,83
gillingham,League Two,340,England,gillingham,Pinnacle,84
accrington,League Two,340,England,accrington stanley,Pinnacle,85
morecambe,League Two,340,England,morecambe,Pinnacle,86
newport,League Two,340,England,newport county,Pinnacle,87
crawley,League Two,340,England,crawley town,Pinnacle,88
walsall,League Two,340,England,walsall,Pinnacle,89
tranmere,League Two,340,England,tranmere rovers,Pinnacle,90
swindon,League Two,340,England,swindon town,Pinnacle,91
bradford city,League Two,340,England,bradford city,Pinnacle,92
salford,League Two,340,England,salford city,Pinnacle,93
grimsby,League Two,340,England,grimsby town,Pinnacle,94
colchester,League Two,340,England,colchester united,Pinnacle,95
doncaster,League Two,340,England,doncaster,Pinnacle,96
sutton,League Two,340,England,sutton united,Pinnacle,97
forest green,League Two,340,England,forest green rovers,Pinnacle,98
chesterfield,National League,341,England,chesterfield,Pinnacle,99
bromley,National League,341,England,bromley,Pinnacle,100
aldershot,National League,341,England,aldershot town,Pinnacle,103
solihull moors,National League,341,England,solihull motors,Pinnacle,104
gateshead,National League,341,England,gateshead,Pinnacle,105
oldham,National League,341,England,oldham athletic,Pinnacle,106
fc halifax,National League,341,England,halifax town,Pinnacle,108
wealdstone,National League,341,England,wealdstone,Pinnacle,110
eastleigh,National League,341,England,eastleigh,Pinnacle,111
boreham wood,National League,341,England,boreham wood,Pinnacle,113
maidenhead,National League,341,England,maidenhead united,Pinnacle,114
southend,National League,341,England,southend,Pinnacle,115
york city,National League,341,England,york city,Pinnacle,116
dorking,National League,341,England,dorking wanderers,Pinnacle,117
afc fylde,National League,341,England,afc fylde,Pinnacle,118
kidderminster,National League,341,England,kidderminster harriers,Pinnacle,119
ebbsfleet,National League,341,England,ebbsfleet uinited,Pinnacle,120
oxford city,National League,341,England,oxford city,Pinnacle,122
wellington phoenix,A-League,347,Australia,wellington phoenix,Pinnacle,123
central coast mariners,A-League,347,Australia,central coast mariners,Pinnacle,124
melbourne victory,A-League,347,Australia,melbourne victory,Pinnacle,125
macarthur fc,A-League,347,macarthur fc,macarthur fc,Pinnacle,126
ws wanderers,A-League,347,Australia,western sydney wanderers,Pinnacle,127
melbourne city,A-League,347,Australia,melbourne city,Pinnacle,128
sydney fc,A-League,347,Australia,sydney fc,Pinnacle,129
adelaide united,A-League,347,Australia,adelaide united,Pinnacle,130
brisbane roar,A-League,347,Australia,brisbane roar,Pinnacle,131
newcastle jets,A-League,347,Australia,newcastle jets,Pinnacle,132
perth glory,A-League,347,Australia,perth glory,Pinnacle,133
western united,A-League,347,Australia,western united,Pinnacle,134
midtjylland,Superliga,348,Denmark,fc midtjylland,Pinnacle,135
brondby,Superliga,348,Denmark,brondby if,Pinnacle,136
fc copenhagen,Superliga,348,Denmark,fc copenhagen,Pinnacle,137
aarhus,Superliga,348,Denmark,agf aarhus,Pinnacle,138
nordsjaelland,Superliga,348,Denmark,fc nordsjaelland,Pinnacle,139
silkeborg,Superliga,348,Denmark,silkeborg if,Pinnacle,140
lyngby,Superliga,348,Denmark,lyngby,Pinnacle,141
viborg,Superliga,348,Denmark,viborg ff,Pinnacle,142
odense,Superliga,348,Denmark,ob odense bk,Pinnacle,143
randers fc,Superliga,348,Denmark,randers fc,Pinnacle,144
vejle,Superliga,348,Denmark,velje boldklub,Pinnacle,145
hvidovre if,Superliga,348,Denmark,hvidovre,Pinnacle,146
psg,Ligue 1,349,France,paris saint germain,Pinnacle,147
nice,Ligue 1,349,France,nice,Pinnacle,148
brest,Ligue 1,349,France,brest,Pinnacle,149
lille,Ligue 1,349,France,lille,Pinnacle,150
monaco,Ligue 1,349,France,as monaco,Pinnacle,151
lens,Ligue 1,349,France,lens,Pinnacle,152
reims,Ligue 1,349,France,reims,Pinnacle,153
marseille,Ligue 1,349,France,marseille,Pinnacle,154
rennes,Ligue 1,349,France,rennes,Pinnacle,155
strasbourg,Ligue 1,349,France,strasbourg,Pinnacle,156
le havre,Ligue 1,349,France,le havre,Pinnacle,157
toulouse,Ligue 1,349,France,toulouse fc,Pinnacle,158
montpellier,Ligue 1,349,France,montpellier hsc,Pinnacle,159
nantes,Ligue 1,349,France,nantes,Pinnacle,160
lyon,Ligue 1,349,France,lyon,Pinnacle,161
metz,Ligue 1,349,France,metz,Pinnacle,162
lorient,Ligue 1,349,France,lorient,Pinnacle,163
clermont,Ligue 1,349,France,clermont,Pinnacle,164
angers,Ligue 2,350,France,angers sco,Pinnacle,165
auxerre,Ligue 2,350,France,auxerre,Pinnacle,166
grenoble,Ligue 2,350,France,grenoble,Pinnacle,167
laval,Ligue 2,350,France,stade lavallois,Pinnacle,168
amiens,Ligue 2,350,France,amiens,Pinnacle,169
pau fc,Ligue 2,350,France,pau fc,Pinnacle,170
caen,Ligue 2,350,France,caen,Pinnacle,171
ac ajaccio,Ligue 2,350,France,ac ajaccio,Pinnacle,172
guingamp,Ligue 2,350,France,guingamp,Pinnacle,173
paris fc,Ligue 2,350,France,paris fc,Pinnacle,174
