team_name,main_league,main_league_common_id,country,team_name_website,website,team_common_id
liverpool,English Premier League,337,England,liverpool,SkyBet,7
arsenal,English Premier League,337,England,arsenal,SkyBet,8
manchester city,English Premier League,337,England,manchester city,SkyBet,9
aston villa,English Premier League,337,England,aston villa,SkyBet,10
tottenham,English Premier League,337,England,tottenham,SkyBet,11
manchester united,English Premier League,337,England,manchester utd,SkyBet,12
west ham,English Premier League,337,England,west ham,SkyBet,13
brighton,English Premier League,337,England,brighton,SkyBet,14
newcastle,English Premier League,337,England,newcastle,SkyBet,15
wolves,English Premier League,337,England,wolves,SkyBet,16
chelsea,English Premier League,337,England,chelsea,SkyBet,17
bournemouth,English Premier League,337,England,bournemouth,SkyBet,18
fulham,English Premier League,337,England,fulham,SkyBet,19
crystal palace,English Premier League,337,England,crystal palace,SkyBet,20
brentford,English Premier League,337,England,brentford,SkyBet,21
nottingham forest,English Premier League,337,England,nottingham forest,SkyBet,22
luton,English Premier League,337,England,luton town,SkyBet,23
everton,English Premier League,337,England,everton,SkyBet,24
burnley,English Premier League,337,England,burnley,SkyBet,25
sheffield united,English Premier League,337,England,sheffield utd,SkyBet,26
leicester,Championship,338,England,leicester,SkyBet,27
southampton,Championship,338,England,southampton,SkyBet,28
leeds,Championship,338,England,leeds,SkyBet,29
ipswich,Championship,338,England,ipswich,SkyBet,30
west brom,Championship,338,England,west brom,SkyBet,31
hull,Championship,338,England,hull,SkyBet,32
coventry,Championship,338,England,coventry,SkyBet,33
sunderland,Championship,338,England,sunderland,SkyBet,34
norwich,Championship,338,England,norwich,SkyBet,35
preston,Championship,338,England,preston,SkyBet,36
watford,Championship,338,England,watford,SkyBet,37
middlesbrough,Championship,338,England,middlesbrough,SkyBet,38
cardiff,Championship,338,England,cardiff,SkyBet,39
bristol city,Championship,338,England,bristol city,SkyBet,40
plymouth,Championship,338,England,plymouth,SkyBet,41
millwall,Championship,338,England,millwall,SkyBet,42
swansea,Championship,338,England,swansea,SkyBet,43
blackburn,Championship,338,England,blackburn,SkyBet,44
birmingham,Championship,338,England,birmingham,SkyBet,45
stoke,Championship,338,England,stoke,SkyBet,46
huddersfield,Championship,338,England,huddersfield,SkyBet,47
qpr,Championship,338,England,qpr,SkyBet,48
sheffield wednesday,Championship,338,England,sheffield wednesday,SkyBet,49
rotherham,Championship,338,England,rotherham,SkyBet,50
portsmouth,League One,339,England,portsmouth,SkyBet,51
derby,League One,339,England,derby,SkyBet,52
bolton,League One,339,England,bolton,SkyBet,53
peterborough,League One,339,England,peterborough,SkyBet,54
barnsley,League One,339,England,barnsley,SkyBet,55
stevenage,League One,339,England,stevenag,SkyBet,56
oxford united,League One,339,England,oxford,SkyBet,57
blackpool,League One,339,England,blackpool,SkyBet,58
leyton orient,League One,339,England,leyton orient,SkyBet,59
bristol rovers,League One,339,England,bristol rovers,SkyBet,60
northampton,League One,339,England,northampton,SkyBet,61
lincoln,League One,339,England,lincoln,SkyBet,62
wigan,League One,339,England,wigan,SkyBet,63
cambridge united,League One,339,England,cambridge,SkyBet,64
wycombe,League One,339,England,wycombe,SkyBet,65
shrewsbury,League One,339,England,shrewsbury,SkyBet,66
exeter,League One,339,England,exeter,SkyBet,67
burton,League One,339,England,burton,SkyBet,68
charlton,League One,339,England,charlton,SkyBet,69
port vale,League One,339,England,port vale,SkyBet,70
reading,League One,339,England,reading,SkyBet,71
cheltenham,League One,339,England,cheltenham,SkyBet,72
fleetwood,League One,339,England,fleetwood,SkyBet,73
carlisle,League One,339,England,carlisle,SkyBet,74
stockport county,League Two,340,England,stockport county,SkyBet,75
mansfield,League Two,340,England,mansfield,SkyBet,76
barrow,League Two,340,England,barrow,SkyBet,77
wrexham,League Two,340,England,wrexham,SkyBet,78
crewe,League Two,340,England,crewe,SkyBet,79
mk dons,League Two,340,England,mk dons,SkyBet,80
notts county,League Two,340,England,notts county,SkyBet,81
harrogate,League Two,340,England,harrogate,SkyBet,82
afc wimbledon,League Two,340,England,afc wimbledon,SkyBet,83
gillingham,League Two,340,England,gillingham,SkyBet,84
accrington,League Two,340,England,accrington,SkyBet,85
morecambe,League Two,340,England,morecambe,SkyBet,86
newport,League Two,340,England,newport,SkyBet,87
crawley,League Two,340,England,crawley,SkyBet,88
walsall,League Two,340,England,walsall,SkyBet,89
tranmere,League Two,340,England,tranmere,SkyBet,90
swindon,League Two,340,England,swindon,SkyBet,91
bradford city,League Two,340,England,bradford,SkyBet,92
salford,League Two,340,England,salford,SkyBet,93
grimsby,League Two,340,England,grimsby,SkyBet,94
colchester,League Two,340,England,colchester,SkyBet,95
doncaster,League Two,340,England,doncaster,SkyBet,96
sutton,League Two,340,England,sutton,SkyBet,97
forest green,League Two,340,England,forest green,SkyBet,98
chesterfield,National League,341,England,chesterfield,SkyBet,99
bromley,National League,341,England,bromley,SkyBet,100
barnet,National League,341,England,barnet,SkyBet,101
atrincham,National League,341,England,altrincham,SkyBet,102
aldershot,National League,341,England,aldershot,SkyBet,103
solihull moors,National League,341,England,solihull,SkyBet,104
gateshead,National League,341,England,gateshead,SkyBet,105
oldham,National League,341,England,oldham,SkyBet,106
rochdale,National League,341,England,rochdale,SkyBet,107
fc halifax,National League,341,England,halifax,SkyBet,108
hartlepool,National League,341,England,hartlepool,SkyBet,109
wealdstone,National League,341,England,wealdstone,SkyBet,110
eastleigh,National League,341,England,eastleigh,SkyBet,111
dagenham and redbridge,National League,341,England,dagenham & redbridge,SkyBet,112
boreham wood,National League,341,England,boreham wood,SkyBet,113
maidenhead,National League,341,England,maidenhead,SkyBet,114
southend,National League,341,England,southend,SkyBet,115
york city,National League,341,England,york,SkyBet,116
dorking,National League,341,England,dorking,SkyBet,117
afc fylde,National League,341,England,afc fylde,SkyBet,118
kidderminster,National League,341,England,kidderminster,SkyBet,119
woking,National League,341,England,woking,SkyBet,121
central coast mariners,A-League,347,Australia,central coast mariners,SkyBet,124
melbourne victory,A-League,347,Australia,melbourne victory,SkyBet,125
ws wanderers,A-League,347,Australia,western sydney wanderers,SkyBet,127
melbourne city,A-League,347,Australia,melbourne city,SkyBet,128
sydney fc,A-League,347,Australia,sydney fc,SkyBet,129
