team_name,main_league,main_league_common_id,country,team_name_website,website,team_common_id
liverpool,English Premier League,337,England,liverpool,PaddyPower,7
arsenal,English Premier League,337,England,arsenal,PaddyPower,8
manchester city,English Premier League,337,England,man city,PaddyPower,9
aston villa,English Premier League,337,England,aston villa,PaddyPower,10
tottenham,English Premier League,337,England,tottenham,PaddyPower,11
manchester united,English Premier League,337,England,man utd,PaddyPower,12
west ham,English Premier League,337,England,west ham,PaddyPower,13
brighton,English Premier League,337,England,brighton,PaddyPower,14
newcastle,English Premier League,337,England,newcastle,PaddyPower,15
wolves,English Premier League,337,England,wolves,PaddyPower,16
chelsea,English Premier League,337,England,chelsea,PaddyPower,17
bournemouth,English Premier League,337,England,bournemouth,PaddyPower,18
fulham,English Premier League,337,England,fulham,PaddyPower,19
crystal palace,English Premier League,337,England,crystal palace,PaddyPower,20
brentford,English Premier League,337,England,brentford,PaddyPower,21
nottingham forest,English Premier League,337,England,nottm forest,PaddyPower,22
luton,English Premier League,337,England,luton,PaddyPower,23
everton,English Premier League,337,England,everton,PaddyPower,24
burnley,English Premier League,337,England,burnley,PaddyPower,25
sheffield united,English Premier League,337,England,sheff utd,PaddyPower,26
leicester,Championship,338,England,leicester,PaddyPower,27
southampton,Championship,338,England,southampton,PaddyPower,28
leeds,Championship,338,England,leeds,PaddyPower,29
ipswich,Championship,338,England,ipswich,PaddyPower,30
west brom,Championship,338,England,west brom,PaddyPower,31
hull,Championship,338,England,hull,PaddyPower,32
coventry,Championship,338,England,coventry,PaddyPower,33
sunderland,Championship,338,England,sunderland,PaddyPower,34
norwich,Championship,338,England,norwich,PaddyPower,35
preston,Championship,338,England,preston,PaddyPower,36
watford,Championship,338,England,watford,PaddyPower,37
middlesbrough,Championship,338,England,middlesbrough,PaddyPower,38
cardiff,Championship,338,England,cardiff,PaddyPower,39
bristol city,Championship,338,England,bristol city,PaddyPower,40
plymouth,Championship,338,England,plymouth,PaddyPower,41
millwall,Championship,338,England,millwall,PaddyPower,42
swansea,Championship,338,England,swansea,PaddyPower,43
blackburn,Championship,338,England,blackburn,PaddyPower,44
birmingham,Championship,338,England,birmingham,PaddyPower,45
stoke,Championship,338,England,stoke,PaddyPower,46
huddersfield,Championship,338,England,huddersfield,PaddyPower,47
qpr,Championship,338,England,qpr,PaddyPower,48
sheffield wednesday,Championship,338,England,sheff wed,PaddyPower,49
rotherham,Championship,338,England,rotherham,PaddyPower,50
portsmouth,League One,339,England,portsmouth,PaddyPower,51
derby,League One,339,England,derby,PaddyPower,52
bolton,League One,339,England,bolton,PaddyPower,53
peterborough,League One,339,England,peterborough,PaddyPower,54
barnsley,League One,339,England,barnsley,PaddyPower,55
stevenage,League One,339,England,stevenage,PaddyPower,56
oxford united,League One,339,England,oxford utd,PaddyPower,57
blackpool,League One,339,England,blackpool,PaddyPower,58
leyton orient,League One,339,England,leyton orient,PaddyPower,59
bristol rovers,League One,339,England,bristol rovers,PaddyPower,60
northampton,League One,339,England,northampton,PaddyPower,61
lincoln,League One,339,England,lincoln,PaddyPower,62
wigan,League One,339,England,wigan,PaddyPower,63
cambridge united,League One,339,England,cambridge utd,PaddyPower,64
wycombe,League One,339,England,wycombe,PaddyPower,65
shrewsbury,League One,339,England,shrewsbury,PaddyPower,66
exeter,League One,339,England,exeter,PaddyPower,67
burton,League One,339,England,burton albion,PaddyPower,68
charlton,League One,339,England,charlton,PaddyPower,69
port vale,League One,339,England,port vale,PaddyPower,70
reading,League One,339,England,reading,PaddyPower,71
cheltenham,League One,339,England,cheltenham,PaddyPower,72
fleetwood,League One,339,England,fleetwood town,PaddyPower,73
carlisle,League One,339,England,carlisle,PaddyPower,74
stockport county,League Two,340,England,stockport,PaddyPower,75
mansfield,League Two,340,England,mansfield,PaddyPower,76
barrow,League Two,340,England,barrow,PaddyPower,77
wrexham,League Two,340,England,wrexham,PaddyPower,78
crewe,League Two,340,England,crewe,PaddyPower,79
mk dons,League Two,340,England,mk dons,PaddyPower,80
notts county,League Two,340,England,notts co,PaddyPower,81
harrogate,League Two,340,England,harrogate,PaddyPower,82
afc wimbledon,League Two,340,England,afc wimbledon,PaddyPower,83
gillingham,League Two,340,England,gillingham,PaddyPower,84
accrington,League Two,340,England,accrington,PaddyPower,85
morecambe,League Two,340,England,morecambe,PaddyPower,86
newport,League Two,340,England,newport,PaddyPower,87
crawley,League Two,340,England,crawley town,PaddyPower,88
walsall,League Two,340,England,walsall,PaddyPower,89
tranmere,League Two,340,England,tranmere,PaddyPower,90
swindon,League Two,340,England,swindon,PaddyPower,91
bradford city,League Two,340,England,bradford,PaddyPower,92
salford,League Two,340,England,salford city,PaddyPower,93
grimsby,League Two,340,England,grimsby,PaddyPower,94
colchester,League Two,340,England,colchester,PaddyPower,95
doncaster,League Two,340,England,doncaster,PaddyPower,96
sutton,League Two,340,England,sutton utd,PaddyPower,97
forest green,League Two,340,England,forest green,PaddyPower,98
chesterfield,National League,341,England,chesterfield,PaddyPower,99
barnet,National League,341,England,barnet,PaddyPower,101
atrincham,National League,341,England,altrincham,PaddyPower,102
aldershot,National League,341,England,aldershot,PaddyPower,103
solihull moors,National League,341,England,solihull moors,PaddyPower,104
gateshead,National League,341,England,gateshead,PaddyPower,105
oldham,National League,341,England,oldham,PaddyPower,106
rochdale,National League,341,England,rochdale,PaddyPower,107
fc halifax,National League,341,England,fc halifax town,PaddyPower,108
hartlepool,National League,341,England,hartlepool,PaddyPower,109
wealdstone,National League,341,England,wealdstone,PaddyPower,110
eastleigh,National League,341,England,eastleigh,PaddyPower,111
dagenham and redbridge,National League,341,England,dag and red,PaddyPower,112
boreham wood,National League,341,England,boreham wood,PaddyPower,113
maidenhead,National League,341,England,maidenhead,PaddyPower,114
southend,National League,341,England,southend,PaddyPower,115
york city,National League,341,England,york city,PaddyPower,116
dorking,National League,341,England,dorking wanderers,PaddyPower,117
afc fylde,National League,341,England,afc fylde,PaddyPower,118
kidderminster,National League,341,England,kidderminster,PaddyPower,119
ebbsfleet,National League,341,England,ebbsfleet utd,PaddyPower,120
woking,National League,341,England,woking,PaddyPower,121
oxford city,National League,341,England,oxford city,PaddyPower,122
