team_name,display_name,main_league,main_league_common_id,country
liverpool,Liverpool,English Premier League,337,England
arsenal,Arsenal,English Premier League,337,England
manchester city,Manchester City,English Premier League,337,England
aston villa,Aston Villa,English Premier League,337,England
tottenham,Tottenham Hotspur,English Premier League,337,England
manchester united,Manchester United,English Premier League,337,England
west ham,West Ham,English Premier League,337,England
brighton,Brighton,English Premier League,337,England
newcastle,Newcastle,English Premier League,337,England
wolves,Wolves,English Premier League,337,England
chelsea,Chelsea,English Premier League,337,England
bournemouth,Bournemouth,English Premier League,337,England
fulham,Fulham,English Premier League,337,England
crystal palace,Crystal Palace,English Premier League,337,England
brentford,Brentford,English Premier League,337,England
nottingham forest,Nottingham Forest,English Premier League,337,England
luton,Luton,English Premier League,337,England
everton,Everton,English Premier League,337,England
burnley,Burnley,English Premier League,337,England
sheffield united,Sheffield United,English Premier League,337,England
leicester,Leicester,Championship,338,England
southampton,Southampton,Championship,338,England
leeds,Leeds,Championship,338,England
ipswich,Ipswich,Championship,338,England
west brom,West Brom,Championship,338,England
hull,Hull,Championship,338,England
coventry,Coventry,Championship,338,England
sunderland,Sunderland,Championship,338,England
norwich,Norwich,Championship,338,England
preston,Preston,Championship,338,England
watford,Watford,Championship,338,England
middlesbrough,Middlesbrough,Championship,338,England
cardiff,Cardiff,Championship,338,England
bristol city,Bristol City,Championship,338,England
plymouth,Plymouth,Championship,338,England
millwall,Millwall,Championship,338,England
swansea,Swansea,Championship,338,England
blackburn,Blackburn,Championship,338,England
birmingham,Birmingham,Championship,338,England
stoke,Stoke,Championship,338,England
huddersfield,Huddersfield,Championship,338,England
qpr,QPR,Championship,338,England
sheffield wednesday,Sheffield Wednesday,Championship,338,England
rotherham,Rotherham,Championship,338,England
portsmouth,Portsmouth,League One,339,England
derby,Derby,League One,339,England
bolton,Bolton,League One,339,England
peterborough,Peterborough,League One,339,England
barnsley,Barnsley,League One,339,England
stevenage,Stevenage,League One,339,England
oxford united,Oxford United,League One,339,England
blackpool,Blackpool,League One,339,England
leyton orient,Leyton Orient,League One,339,England
bristol rovers,Bristol Rovers,League One,339,England
northampton,Northampton,League One,339,England
lincoln,Lincoln,League One,339,England
wigan,Wigan,League One,339,England
cambridge united,Cambridge United,League One,339,England
wycombe,Wycombe,League One,339,England
shrewsbury,Shrewsbury,League One,339,England
exeter,Exeter,League One,339,England
burton,Burton,League One,339,England
charlton,Charlton,League One,339,England
port vale,Port Vale,League One,339,England
reading,Reading,League One,339,England
cheltenham,Cheltenham,League One,339,England
fleetwood,Fleetwood,League One,339,England
carlisle,Carlisle,League One,339,England
stockport county,Stockport County,League Two,340,England
mansfield,Mansfield,League Two,340,England
barrow,Barrow,League Two,340,England
wrexham,Wrexham,League Two,340,England
crewe,Crewe,League Two,340,England
mk dons,MK Dons,League Two,340,England
notts county,Notts County,League Two,340,England
harrogate,Harrogate,League Two,340,England
afc wimbledon,AFC Wimbledon,League Two,340,England
gillingham,Gillingham,League Two,340,England
accrington,Accrington,League Two,340,England
morecambe,Morecambe,League Two,340,England
newport,Newport,League Two,340,England
crawley,Crawley,League Two,340,England
walsall,Walsall,League Two,340,England
tranmere,Tranmere,League Two,340,England
swindon,Swindon,League Two,340,England
bradford city,Bradford City,League Two,340,England
salford,Salford,League Two,340,England
grimsby,Grimsby,League Two,340,England
colchester,Colchester,League Two,340,England
doncaster,Doncaster,League Two,340,England
sutton,Sutton,League Two,340,England
forest green,Forest Green,League Two,340,England
chesterfield,Chesterfield,National League,341,England
bromley,Bromley,National League,341,England
barnet,Barnet,National League,341,England
atrincham,Altrincham,National League,341,England
aldershot,Aldershot,National League,341,England
solihull moors,Solihull Moors,National League,341,England
gateshead,Gateshead,National League,341,England
oldham,Oldham,National League,341,England
rochdale,Rochdale,National League,341,England
fc halifax,FC Halifax,National League,341,England
